Time,City,Price
2019-02-10 20:56:27.585857,Ahmedabad,"3,259"
2019-02-10 20:56:32.731027,Bangalore,"3,110"
2019-02-10 20:56:36.524440,Bhubaneswar,"3,125"
2019-02-10 20:56:40.618977,Chandigarh,"3,240"
2019-02-10 20:56:45.588457,Chennai,"3,173"
2019-02-10 20:56:50.503645,Coimbatore,"3,173"
2019-02-10 20:56:55.035844,Delhi,"3,240"
2019-02-10 20:56:59.899036,Hyderabad,"3,173"
2019-02-10 20:57:05.263722,Jaipur,"3,240"
2019-02-10 20:57:10.428723,Kerala,"3,090"
2019-02-10 20:57:14.864275,Kolkata,"3,267"
2019-02-10 20:57:19.034453,Lucknow,"3,240"
2019-02-10 20:57:23.086921,Madurai,"3,173"
2019-02-10 20:57:26.460471,Mangalore,"3,110"
2019-02-10 20:57:30.823730,Mumbai,"3,236"
2019-02-10 20:57:34.786752,Mysore,"3,110"
2019-02-10 20:57:38.707981,Nagpur,"3,236"
2019-02-10 20:57:57.250209,Nashik,"3,236"
2019-02-10 20:58:00.989380,Patna,"3,236"
2019-02-10 20:58:05.295043,Pune,"3,236"
2019-02-10 20:58:08.679186,Surat,"3,259"
2019-02-10 20:58:12.419959,Vadodara,"3,259"
2019-02-10 20:58:16.191333,Vijayawada,"3,173"
2019-02-10 20:58:19.915638,Visakhapatnam,"3,173"
2019-02-10 20:59:53.246387,Ahmedabad,"3,259"
2019-02-10 20:59:57.679176,Bangalore,"3,110"
2019-02-10 21:00:01.457211,Bhubaneswar,"3,125"
2019-02-10 21:00:05.496539,Chandigarh,"3,240"
2019-02-10 21:00:09.626858,Chennai,"3,173"
2019-02-10 21:00:13.534446,Coimbatore,"3,173"
2019-02-10 21:00:17.547890,Delhi,"3,240"
2019-02-10 21:00:21.141907,Hyderabad,"3,173"
2019-02-10 21:00:24.677838,Jaipur,"3,240"
2019-02-10 21:00:28.314162,Kerala,"3,090"
2019-02-10 21:00:32.883878,Kolkata,"3,267"
2019-02-10 21:00:36.580098,Lucknow,"3,240"
2019-02-10 21:00:40.040837,Madurai,"3,173"
2019-02-10 21:00:43.571864,Mangalore,"3,110"
2019-02-10 21:00:48.937070,Mumbai,"3,236"
2019-02-10 21:00:52.370610,Mysore,"3,110"
2019-02-10 21:00:56.137701,Nagpur,"3,236"
2019-02-10 21:00:59.826596,Nashik,"3,236"
2019-02-10 21:01:03.622928,Patna,"3,236"
2019-02-10 21:01:08.174103,Pune,"3,236"
2019-02-10 21:01:11.627184,Surat,"3,259"
2019-02-10 21:01:15.049623,Vadodara,"3,259"
2019-02-10 21:01:20.045102,Vijayawada,"3,173"
2019-02-10 21:01:24.541768,Visakhapatnam,"3,173"
