LOCATION,Status,DATE
BANGALORE,Thunder,14-09-18 07:48 PM
BANGALORE,Thunder,14-09-18 07:48 PM
BANGALORE,Mostly Cloudy,15-09-18 09:08 PM
BANGALORE,Mostly Cloudy,15-09-18 09:13 PM
BANGALORE,Mostly Cloudy,15-09-18 09:24 PM
BANGALORE,Mostly Cloudy,17-09-18 11:23 AM
BANGALORE,Mostly Cloudy,17-09-18 02:56 PM
BANGALORE,Mostly Cloudy,17-09-18 02:57 PM
BANGALORE,Mostly Cloudy,17-09-18 06:18 PM
BANGALORE,Partly Cloudy,18-09-18 11:08 AM
BANGALORE,Mostly Cloudy,18-09-18 11:54 AM
BANGALORE,Partly Cloudy,18-09-18 01:19 PM
BANGALORE,Partly Cloudy,18-09-18 01:30 PM
BANGALORE,Mostly Cloudy,18-09-18 02:58 PM
BANGALORE,Mostly Cloudy,18-09-18 02:59 PM
BANGALORE,Mostly Cloudy,18-09-18 03:03 PM
BANGALORE,Mostly Cloudy,18-09-18 03:19 PM
BANGALORE,Partly Cloudy,18-09-18 03:43 PM
BANGALORE,Partly Cloudy,18-09-18 03:48 PM
BANGALORE,Partly Cloudy,18-09-18 03:49 PM
BANGALORE,Partly Cloudy,18-09-18 03:54 PM
BANGALORE,Partly Cloudy,18-09-18 04:35 PM
BANGALORE,Mostly Cloudy,21-09-18 03:21 PM
BANGALORE,Mostly Cloudy,21-09-18 03:52 PM
BANGALORE,Partly Cloudy,28-09-18 06:43 PM
BANGALORE,Fair,31-10-18 12:52 PM
BANGALORE,Fair,31-10-18 12:58 PM
